away_color,home_color,season,week,notes,away_id,home_id,away_team,home_team,game_rating
#4e6192,#c8595f,2018,10,,2335,113,Liberty,UMass,9.53
#85797a,#8e8e8e,2016,1,,326,195,Texas State,Ohio,9.47
#868686,#6f7cc9,2017,6,,2711,2084,Western Michigan,Buffalo,9.39
#d8c2c0,#db93a2,2018,12,,194,120,Ohio State(9),Maryland,9.29
#e5d9c9,#c6c3b4,2021,Bowls,transperfect music city bowl,2633,2509,Tennessee,Purdue,9.25
#c45050,#d88998,2022,13,,201,2641,Oklahoma,Texas Tech,9.23
#878787,#4c4c4c,2016,11,,2751,2439,Wyoming,UNLV,9.23
#5880c8,#4c4c4c,2017,14,,235,2116,Memphis(16),UCF(12),9.22
#14c14c14c,#3966ac,2016,5,,2649,252,Toledo,BYU,9.21
#b5706d,#3c60b4,2015,Bowls,new era pinstripe bowl,84,150,Indiana,Duke,9.15
#ede6cc,#b83d6f,2018,13,,99,245,LSU(8),Texas A&M,9.13
#10d10c10a,#9c9495,2019,8,,153,259,North Carolina,Virginia Tech,9.09
#bb929a,#3853a9,2021,6,,8,145,Arkansas(13),Ole Miss(17),9.08
#cf6e75,#3871a6,2021,13,,193,2309,Miami (OH),Kent State,9.07
#5796c7,#4890c2,2015,1,,2226,202,Florida Atlantic,Tulsa,9.02
#459d6b,#b39ba0,2015,9,,2483,9,Oregon,Arizona State,9.01
#7a8bd3,#e4d3c7,2021,11,,2305,251,Kansas,Texas,8.94
#b8b8b8,#b83d6f,2017,Bowls,,154,245,Wake Forest,Texas A&M,8.92
#d6a286,#c86781,2019,13,,204,265,Oregon State,Washington State,8.87
#b8b8b8,#10d10c10a,2021,10,,154,153,Wake Forest(10),North Carolina,8.87
#4c4c4c,#4b83c3,2022,13,,2026,290,Appalachian State,Georgia Southern,8.85
#10d10c10a,#e7d3c6,2018,8,,153,183,North Carolina,Syracuse,8.8
#7a8bd3,#bb929a,2022,Bowls,autozone liberty bowl,2305,8,Kansas,Arkansas,8.8
#4c4c4c,#bb929a,2017,13,,142,8,Missouri,Arkansas,8.79
#5880c8,#917e9c,2022,7,,235,151,Memphis,East Carolina,8.79
#d5a6af,#b5706d,2015,7,,164,84,Rutgers,Indiana,8.77
#af5868,#935531,2022,2,,2198,189,Eastern Kentucky,Bowling Green,8.76
#459d6b,#3f647f,2016,8,,2483,25,Oregon,California,8.74
#c45050,#e6dab3,2018,13,,201,277,Oklahoma(6),West Virginia(12),8.74
#bb929a,#3853a9,2015,10,,8,145,Arkansas,Ole Miss(19),8.73
#4890c2,#14c14c14c,2017,3,,202,2649,Tulsa,Toledo,8.72
#339a72,#61a0ca,2018,5,,62,23,Hawai'i,San José State,8.71
#bb929a,#4c4c4c,2020,14,,8,142,Arkansas,Missouri,8.69
#d88998,#38a98a,2019,7,,2641,239,Texas Tech,Baylor(22),8.69
#3d75b8,#85797a,2020,2,,2636,326,UT San Antonio,Texas State,8.66
#6584b7,#38a690,2017,11,,68,36,Boise State,Colorado State,8.65
#e6ccb3,#b57f81,2015,3,,2638,166,UTEP,New Mexico State,8.65
#e0cbcc,#4890c2,2016,6,,2567,202,SMU,Tulsa,8.62
#d98c8c,#c45050,2017,Bowls,rose bowl game presented by northwestern mutual - cfp semifinal,61,201,Georgia(2),Oklahoma(3),8.61
#9e9292,#bb929a,2015,12,,344,8,Mississippi State,Arkansas,8.6
#a6a0a1,#b5706d,2015,1,,79,84,Southern Illinois,Indiana,8.59
#315a93,#e4d3c7,2016,1,,87,251,Notre Dame(10),Texas,8.58
#4c4c4c,#4890c2,2016,13,,2132,202,Cincinnati,Tulsa,8.57
#3f7fbd,#b8b8b8,2019,1,,328,154,Utah State,Wake Forest,8.57
#5ea3c9,#5880c8,2017,3,,26,235,UCLA(25),Memphis,8.57
#c0425a,#e5d9c9,2022,7,,333,2633,Alabama(3),Tennessee(6),8.57
#868686,#dc9797,2018,12,,2711,2050,Western Michigan,Ball State,8.57
#e0cbcc,#3cb588,2020,7,,2567,2655,SMU(17),Tulane,8.56
#b8b8b8,#10d10c10a,2020,11,,154,153,Wake Forest,North Carolina,8.56
#4b83c3,#e2a9ae,2022,2,,290,158,Georgia Southern,Nebraska,8.56
#6584b7,#c86781,2017,2,,68,265,Boise State,Washington State(20),8.56
#ce6b6c,#c6c3b4,2018,12,,275,2509,Wisconsin,Purdue,8.56
#ddb4b6,#85797a,2020,12,,2032,326,Arkansas State,Texas State,8.55
#eddbd5,#b8b8b8,2022,4,,228,154,Clemson(5),Wake Forest(21),8.55
#99a6b8,#ddb4b6,2020,7,,2247,2032,Georgia State,Arkansas State,8.55
#b8939a,#db93a2,2020,9,,135,120,Minnesota,Maryland,8.54
#3870aa,#3f647f,2017,8,,12,25,Arizona,California,8.54
#7a8bd3,#e4d3c7,2019,8,,2305,251,Kansas,Texas(15),8.53
#f0e9d3,#3f647f,2023,9,,30,25,USC(24),California,8.53
#38a98a,#e4d3c7,2016,9,,239,251,Baylor(8),Texas,8.53
#6e6e6e,#d1bec1,2017,4,,2433,309,Louisiana Monroe,Louisiana,8.51
#5ea3c9,#c86781,2019,4,,26,265,UCLA,Washington State(19),8.5
#ede6cc,#3853a9,2023,5,,99,145,LSU(13),Ole Miss(20),8.49
#3d75b8,#d9c78e,2022,2,,2636,349,UT San Antonio,Army,8.48
#3f647f,#d6a286,2016,6,,25,204,California,Oregon State,8.48
#3853a9,#73a6d0,2020,5,,145,96,Ole Miss,Kentucky,8.47
#4c4c4c,#5880c8,2020,7,,2116,235,UCF,Memphis,8.47
#d1757a,#b8b8b8,2019,7,,97,154,Louisville,Wake Forest(19),8.47
#4c4c4c,#5880c8,2015,4,,2132,235,Cincinnati,Memphis,8.46
#b57f81,#4c4c4c,2019,4,,166,167,New Mexico State,New Mexico,8.46
#339969,#14c14c14c,2021,10,,2199,2649,Eastern Michigan,Toledo,8.46
#4c4c4c,#bf405a,2017,2,,2294,66,Iowa,Iowa State,8.46
#c04054,#3853a9,2018,10,,2579,145,South Carolina,Ole Miss,8.45
#b5706d,#c6c3b4,2019,14,,84,2509,Indiana,Purdue,8.45
#f4f4f4,#459d6b,2016,4,,38,2483,Colorado,Oregon,8.45
#a6a6a6,#d88998,2015,4,,2628,2641,TCU(3),Texas Tech,8.44
#c45050,#e6c7b3,2017,10,,201,197,Oklahoma(8),Oklahoma State(11),8.44
#e4d3c7,#c45050,2020,6,,251,201,Texas(22),Oklahoma,8.42
#85b8d6,#e6c6c7,2017,12,,2393,98,Middle Tennessee,Western Kentucky,8.41
#cc7a91,#f4f4f4,2023,7,,24,38,Stanford,Colorado,8.4
#f0e9d3,#5ea3c9,2022,12,,30,26,USC(7),UCLA(16),8.4
#b83d6f,#bb929a,2017,4,,245,8,Texas A&M,Arkansas,8.4
#38a98a,#e6dab3,2022,7,,239,277,Baylor,West Virginia,8.39
#bb929a,#a6a6a6,2016,2,,8,2628,Arkansas,TCU(15),8.39
#e6dab3,#b39ba0,2015,Bowls,motel 6 cactus bowl,277,9,West Virginia,Arizona State,8.39
#3c60b4,#9c9495,2015,8,,150,259,Duke(23),Virginia Tech,8.39
#518ac5,#4078be,2022,8,,242,2348,Rice,Louisiana Tech,8.38
#4890c2,#cfa0a8,2016,4,,202,278,Tulsa,Fresno State,8.38
#b8b8b8,#e7d3c6,2021,6,,154,183,Wake Forest(19),Syracuse,8.37
#d1bec1,#3cb588,2016,4,,309,2655,Louisiana,Tulane,8.37
#e5d9c9,#3671a1,2017,1,,2633,59,Tennessee(25),Georgia Tech,8.37
#e4d3c7,#d88998,2020,4,,251,2641,Texas(8),Texas Tech,8.35
#e2a9ae,#9b97aa,2018,7,,158,77,Nebraska,Northwestern,8.35
#4c4c4c,#917e9c,2019,10,,2132,151,Cincinnati(17),East Carolina,8.34
#14c14c14c,#99a6b8,2022,3,,2429,2247,Charlotte,Georgia State,8.34
#10d10c10a,#4c4c4c,2022,1,,153,2026,North Carolina,Appalachian State,8.34
#5880c8,#935531,2015,3,,235,189,Memphis,Bowling Green,8.33
#b39ba0,#3f647f,2015,13,,9,25,Arizona State,California,8.33
#9156c7,#e0cbcc,2015,4,,256,2567,James Madison,SMU,8.33
#3974ac,#d5a6af,2020,12,,130,164,Michigan,Rutgers,8.33
#4c4c4c,#345b9d,2022,1,,2803,2229,Bryant,Florida International,8.32
#3870aa,#f0e9d3,2023,6,,12,30,Arizona,USC(9),8.32
#73a6d0,#d1757a,2016,13,,96,97,Kentucky,Louisville(11),8.31
#3974ac,#b5706d,2015,11,,130,84,Michigan(15),Indiana,8.29
#f0e9d3,#c85a68,2022,7,,30,254,USC(7),Utah(20),8.29
#76d198,#85b8d6,2015,10,,276,2393,Marshall,Middle Tennessee,8.28
#d1bec1,#99a6b8,2020,3,,309,2247,Louisiana(19),Georgia State,8.28
#f0e9d3,#3e70b8,2016,Bowls,rose bowl game pres. by northwestern mutual,30,213,USC(3),Penn State(7),8.28
#315a93,#a0a0a0,2021,1,,87,52,Notre Dame(9),Florida State,8.28
#d88998,#39aa8c,2017,Bowls,birmingham bowl,2641,58,Texas Tech,South Florida(21),8.28
#cc7a91,#5ea3c9,2020,16,,24,26,Stanford,UCLA,8.27
#d4969e,#5880c8,2016,13,,248,235,Houston(18),Memphis,8.27
#ddb4b6,#d07980,2019,5,,2032,2653,Arkansas State,Troy,8.26
#39aa8c,#4c4c4c,2017,13,,58,2116,South Florida(22),UCF(13),8.26
#4c4c4c,#b57f81,2015,9,,70,166,Idaho,New Mexico State,8.26
#e5d9c9,#b83d6f,2016,6,,2633,245,Tennessee(9),Texas A&M(8),8.26
#eddbd5,#a0a0a0,2016,9,,228,52,Clemson(3),Florida State(12),8.25
#afafaf,#e4d3c7,2017,6,,2306,251,Kansas State,Texas,8.24
#e6c6c7,#b5706d,2022,3,,98,84,Western Kentucky,Indiana,8.23
#917e9c,#5880c8,2021,11,,151,235,East Carolina,Memphis,8.23
#ede6cc,#6f82cf,2020,15,,99,57,LSU,Florida(6),8.23
#3f7fbd,#eddbd5,2016,11,,221,228,Pittsburgh,Clemson(3),8.22
#f4f4f4,#a6a6a6,2023,1,,38,2628,Colorado,TCU(17),8.22
#4890c2,#878787,2022,1,,202,2751,Tulsa,Wyoming,8.22
#3f7fbd,#5096c4,2021,3,,328,2005,Utah State,Air Force,8.22
#868686,#3f7fbd,2021,3,,2711,221,Western Michigan,Pittsburgh,8.21
