game_id,season,week,season_type,away_team,home_team,old_game_rating,new_game_rating,rating_delta,old_win_chances_max_diff,old_win_prob_shifts,pbp_status,pbp_raw_rows,pbp_plays,pbp_discarded_rows,pbp_periods,pbp_home_score,pbp_away_score,pregame_home_wp,game_spread,new_win_chances_max_diff,new_win_prob_shifts
401856670,2026,2,regular,Arkansas,Utah,3.17,2.36,-0.81,0.388,15.52,complete,173,167,6,4.0,43.0,10.0,0.8296996355056763,13.5,0.267774760723114,4.818172454833984
401856671,2026,2,regular,Southern Miss,Auburn,1.38,,,0.022,0.880000000000001,missing_pbp,0,0,0,,,,,,,
401856672,2026,2,regular,Campbell,Florida,0.57,,,0.0,0.0,source_not_completed,131,130,1,4.0,52.0,3.0,,,,
401856673,2026,2,regular,Western Kentucky,Georgia,1.39,,,0.00600000000000001,0.24,source_not_completed,166,161,5,4.0,70.0,13.0,,,,
401856674,2026,2,regular,Alabama,Kentucky,4.41,,,0.582,23.28,source_not_completed,18,18,0,1.0,7.0,0.0,,,,
401856676,2026,2,regular,Charlotte,Ole Miss,1.3,,,0.002,0.0800000000000001,source_not_completed,24,24,0,1.0,7.0,0.0,,,,
401856677,2026,2,regular,Mississippi State,Minnesota,5.31,,,0.946,37.84,source_not_completed,25,25,0,1.0,0.0,7.0,,,,
401856678,2026,2,regular,Missouri,Kansas,5.98,5.52,-0.46,0.782,31.28,complete,187,178,9,4.0,21.0,38.0,0.36856016516685486,4.0,0.6711955932551064,22.08953355293488
401856679,2026,2,regular,Oklahoma,Michigan,6.12,5.62,-0.5,0.756,30.24,complete,162,153,9,4.0,17.0,10.0,0.35299748182296753,5.5,0.7017715573310852,19.12371814250946
401856680,2026,2,regular,Towson,South Carolina,1.0,,,0.002,0.0800000000000001,source_not_completed,81,74,7,2.0,17.0,0.0,,,,
401856681,2026,2,regular,Tennessee,Georgia Tech,4.87,,,0.388,15.52,source_not_completed,59,58,1,2.0,10.0,17.0,,,,
401856682,2026,2,regular,Ohio State,Texas,7.75,,,0.89,35.6,source_not_completed,26,23,3,1.0,0.0,10.0,,,,
401856683,2026,2,regular,Arizona State,Texas A&M,3.62,3.41,-0.21,0.3,12.0,complete,164,158,6,4.0,48.0,20.0,0.8773329257965088,15.5,0.22889530658721924,9.650100827217102
401856684,2026,2,regular,Delaware,Vanderbilt,5.22,5.41,0.19,0.148,5.92,complete,180,170,10,4.0,35.0,26.0,0.9081499576568604,20.5,0.25721436738967896,7.024465799331665
401856781,2026,2,regular,Washington State,Kansas State,2.89,2.51,-0.38,0.214,8.56,complete,152,149,3,4.0,34.0,7.0,0.9154253005981445,17.5,0.17779755592346191,4.277075529098511
401856782,2026,2,regular,Oregon,Oklahoma State,5.17,,,0.098,3.92,source_not_completed,122,115,7,3.0,27.0,24.0,,,,
401856783,2026,2,regular,Texas Tech,Oregon State,4.67,,,0.078,3.12,source_not_completed,39,38,1,1.0,0.0,0.0,,,,
401856784,2026,2,regular,Prairie View A&M,Baylor,0.65,,,0.01,0.4,source_not_completed,5,5,0,1.0,0.0,0.0,,,,
401856785,2026,2,regular,Weber State,Colorado,2.15,,,0.00800000000000001,0.32,source_not_completed,32,32,0,1.0,14.0,0.0,,,,
401856786,2026,2,regular,Western Carolina,Cincinnati,1.29,,,0.012,0.48,source_not_completed,76,75,1,2.0,21.0,10.0,,,,
401856787,2026,2,regular,Southern,Houston,1.07,,,0.0,0.0,source_not_completed,67,66,1,2.0,35.0,0.0,,,,
401856788,2026,2,regular,Iowa State,Iowa,5.44,,,0.334,13.36,source_not_completed,36,36,0,2.0,0.0,3.0,,,,
401856789,2026,2,regular,Grambling,TCU,1.11,,,0.002,0.0800000000000001,source_not_completed,15,15,0,1.0,7.0,0.0,,,,
401856790,2026,2,regular,UCF,Pittsburgh,5.73,,,0.63,25.2,missing_pbp,0,0,0,,,,,,,
401856791,2026,2,regular,UT Martin,West Virginia,0.86,,,0.004,0.16,source_not_completed,159,152,7,4.0,52.0,6.0,,,,
401856810,2026,2,regular,Arizona,BYU,6.03,,,0.63,25.2,source_not_completed,21,19,2,1.0,0.0,7.0,,,,
401858213,2026,2,regular,Florida A&M,Miami,1.19,1.36,0.17,0.0,0.0,complete,167,150,17,4.0,77.0,7.0,0.9781081676483154,59.5,0.021861255168914795,0.13972938060760498
401858214,2026,2,regular,Rutgers,Boston College,7.05,5.84,-1.21,0.836,33.44,complete,162,149,13,4.0,28.0,21.0,0.5781798958778381,3.0,0.4285125732421875,14.157652974128723
401858215,2026,2,regular,Villanova,Louisville,1.19,1.33,0.14,0.00800000000000001,0.32,complete,169,164,5,4.0,59.0,13.0,0.9607229232788086,39.5,0.0392376184463501,0.7116011381149292
401858216,2026,2,regular,California,Syracuse,7.13,,,0.782,31.28,source_not_completed,28,28,0,1.0,3.0,0.0,,,,
401858217,2026,2,regular,Duke,Illinois,7.09,,,0.654,26.16,source_not_completed,24,22,2,1.0,7.0,7.0,,,,
401858218,2026,2,regular,East Tennessee State,North Carolina,1.25,,,0.014,0.56,source_not_completed,141,128,13,4.0,35.0,0.0,,,,
401858219,2026,2,regular,Georgia Southern,Clemson,3.64,,,0.178,7.12,missing_pbp,0,0,0,,,,,,,
401858220,2026,2,regular,Norfolk State,Virginia,0.87,1.05,0.18,0.002,0.0800000000000001,complete,168,153,15,4.0,59.0,3.0,0.9781081676483154,47.5,0.03461575508117676,0.43476051092147827
401858221,2026,2,regular,Old Dominion,Virginia Tech,3.82,3.1,-0.72,0.214,8.56,complete,178,170,8,4.0,44.0,21.0,0.9118125438690186,17.5,0.10747021436691284,1.864460825920105
401858222,2026,2,regular,Richmond,NC State,1.41,1.27,-0.14,0.022,0.880000000000001,complete,154,145,9,4.0,73.0,0.0,0.9781081676483154,33.5,0.021851062774658203,0.3213406801223755
401858223,2026,2,regular,UC Davis,SMU,1.28,,,0.026,1.04,source_not_completed,1,1,0,1.0,0.0,0.0,,,,
401858224,2026,2,regular,Wake Forest,Purdue,8.51,8.35,-0.16,0.864,34.56,complete,192,178,14,6.0,36.0,38.0,0.4151776432991028,2.5,0.9322948567569256,28.179508216679096
401858439,2026,2,regular,Howard,Indiana,0.56,0.78,0.22,0.0,0.0,complete,149,134,15,4.0,55.0,0.0,0.9607229232788086,57.5,0.03924006223678589,0.23045051097869873
401858440,2026,2,regular,Eastern Michigan,Michigan State,2.89,,,0.228,9.12,source_not_completed,23,22,1,1.0,7.0,0.0,,,,
401858441,2026,2,regular,Bowling Green,Nebraska,1.26,,,0.036,1.44,source_not_completed,54,53,1,2.0,28.0,0.0,,,,
401858442,2026,2,regular,Penn State,Temple,3.18,3.35,0.17,0.098,3.92,complete,143,140,3,4.0,9.0,27.0,0.05586618185043335,24.5,0.17347564280498773,4.9247210682951845
401858443,2026,2,regular,San Diego State,UCLA,4.18,,,0.352,14.08,source_not_completed,59,56,3,2.0,0.0,0.0,,,,
401858444,2026,2,regular,Maryland,UConn,4.17,,,0.428,17.12,source_not_completed,28,28,0,1.0,7.0,0.0,,,,
401858445,2026,2,regular,Louisiana,USC,3.66,3.79,0.13,0.032,1.28,complete,159,150,9,4.0,49.0,30.0,0.9597121477127075,30.5,0.06534039974212646,1.88224196434021
401858446,2026,2,regular,Utah State,Washington,4.47,,,0.05,2.0,source_not_completed,24,23,1,1.0,0.0,0.0,,,,
401858447,2026,2,regular,Western Illinois,Wisconsin,1.69,,,0.004,0.16,source_not_completed,57,55,2,2.0,20.0,3.0,,,,
401859184,2026,2,regular,Rice,Notre Dame,0.52,,,0.002,0.0800000000000001,source_not_completed,27,25,2,1.0,20.0,0.0,,,,
